Config,Accuracy_mean,Accuracy_std,MacroF1_mean,MacroF1_std,n_seeds,params,size_kb,Blackhole_F1_mean,Blackhole_F1_std,Flooding_F1_mean,Flooding_F1_std,Grayhole_F1_mean,Grayhole_F1_std,Normal_F1_mean,Normal_F1_std,TDMA_F1_mean,TDMA_F1_std
A_RF_500,0.9965907473309608,5.943048659491634e-05,0.9788502941560825,0.00026704963641522407,10,,85064.5361328125,0.9903957236265057,0.0003281605790634252,0.9632084466225692,0.0008173287540667915,0.9832391666967846,0.00064810469364716,0.9983899937124863,3.428156747786801e-05,0.9590181401220669,0.0002103618520586879
B_Full_MLP,0.9872633451957296,0.0003160610754010332,0.9226887762531352,0.0020062386205199232,10,69893.0,273.01953125,0.8672306992018963,0.00597868138867381,0.9383622154558102,0.0026424438910476137,0.8772657449747779,0.004706039299332622,0.9972152442290451,8.197217790354673e-05,0.9333699774041457,0.003209020750489137
C2_CL_MLP_domain,0.9856548042704627,0.000747086141149371,0.9131371118601589,0.004540576701544804,10,69893.0,273.01953125,0.8425479405398836,0.010081992302413644,0.9364251314783821,0.003877288842075276,0.8557025731807391,0.011628129947379847,0.9971443729220324,4.1882875163156527e-05,0.9338655411797572,0.0012210577438390377
C_CL_MLP_loss,0.9857259786476869,0.0006639657720638023,0.9135861700874944,0.003855184577397577,10,69893.0,273.01953125,0.8445725592575479,0.0100402973316461,0.9366087541879942,0.00472714840368958,0.8558451708410644,0.010164584370191933,0.9971551998336606,6.291954837885235e-05,0.9337491663172053,0.0024289953497236574
C_CL_MLP_loss_ext,0.9785907473309609,0.025235380398791286,0.8674204900984448,0.1616812906197555,10,69893.0,273.01953125,0.7702994816450504,0.2709704189911502,0.9223919752204619,0.048087449584653656,0.7795825971424906,0.2742563338244873,0.9960697254158462,0.0036792249653388766,0.8687586710683748,0.2117832224836891
C_CL_MLP_loss_fair,0.9857259786476869,0.0006639657720638023,0.9135861700874944,0.003855184577397577,10,69893.0,273.01953125,0.8445725592575479,0.0100402973316461,0.9366087541879942,0.00472714840368958,0.8558451708410644,0.010164584370191933,0.9971551998336606,6.291954837885235e-05,0.9337491663172053,0.0024289953497236574
D_Small_MLP,0.9843647686832739,0.002494138268589674,0.910902993186332,0.006843465988949987,10,1189.0,4.64453125,0.8471666944766769,0.009934316458684304,0.9355546372749215,0.005136824145426475,0.844835528550109,0.027931041702098102,0.9962484405622648,0.0012400122580100456,0.9307096650676883,0.003132341190317748
E2_KD_from_MLP,0.9853914590747331,0.00036165720568034383,0.9120394941841938,0.002335426804963323,10,1189.0,4.64453125,0.8360044179291725,0.007509522365072396,0.9448754862841943,0.003003866087699613,0.8524867798634084,0.004950726627159157,0.9971838060121005,7.86946488898064e-05,0.9296469808320943,0.004705597863829219
E_KD_from_RF,0.9869430604982206,0.0010661252282702016,0.9203444861873752,0.00651308453057103,10,1189.0,4.64453125,0.8370072850696519,0.018039485828263334,0.9545673368561077,0.0004575453367808154,0.8603681451342478,0.014284306690114757,0.9978918237677019,6.940918940288794e-05,0.9518878401091669,0.002546985015457226
F_KD_from_CL_MLP,0.9850658362989325,0.0004147642346395579,0.9104895552870976,0.0031035906799400425,10,1189.0,4.64453125,0.8331599789560169,0.0075496176147217585,0.9446170475317339,0.005671208644413844,0.8469502253826784,0.004477231924442752,0.9971434133449477,6.853904087146423e-05,0.9305771112201111,0.0032261227564861768
F_KD_from_CL_MLP_ext,0.9811743772241993,0.012704667869452386,0.8936578199261115,0.05542105934538721,10,1189.0,4.64453125,0.8213237880330633,0.04776648669297714,0.9440185178570648,0.007128212594398886,0.8300457396885402,0.053392490910073316,0.9960617449956214,0.0035814375423024606,0.8768393090562675,0.16814925433401773
F_KD_from_CL_MLP_fair,0.9850658362989325,0.0004147642346395579,0.9104895552870976,0.0031035906799400425,10,1189.0,4.64453125,0.8331599789560169,0.0075496176147217585,0.9446170475317339,0.005671208644413844,0.8469502253826784,0.004477231924442752,0.9971434133449477,6.853904087146423e-05,0.9305771112201111,0.0032261227564861768
G_KD_random_pacing,0.9851814946619216,0.0006038647134979478,0.910808556743555,0.00375406445592615,10,1189.0,4.64453125,0.8315815659796921,0.008476575292560426,0.9457949066143632,0.005504136981792885,0.8493702824338261,0.008140545254087318,0.9972015135250348,0.00011471398481066436,0.9300945151648582,0.0040753464979302115
I_KD_from_SMOTE_MLP,0.9847081850533808,0.0008056479803346893,0.9084987350325013,0.004962813431850901,10,1189.0,4.64453125,0.8248233804264304,0.008935981249024375,0.951274517458289,0.0026704591015683007,0.8467296369286498,0.009024579893447175,0.9970961715043876,0.0001977984026769525,0.9225699688447498,0.010068234744330547
